#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B219AA
#Date Time: 2023-11-07 13:09:51.231
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 1 V Attenuation: 1 X Shift: 81.92 us Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.00020371,3.305786824611484,3.294700130393799
-0.00020358,3.316814792251872,3.302086310885666
-0.00020345,3.320490781465334,3.308904323647389
-0.00020332,3.335194738319184,3.31373374935361
-0.00020319,3.338870727532647,3.323108516900979
-0.00020306,3.335194738319184,3.323676684631123
-0.00020293,3.338870727532647,3.326801607146913
-0.0002028,3.346222705959572,3.327369774877057
-0.00020267,3.34254671674611,3.329926529662703
-0.00020254,3.338870727532647,3.327369774877057
-0.00020241,3.338870727532647,3.329926529662703
-0.00020228,3.338870727532647,3.327369774877057
-0.00020215,3.338870727532647,3.330494697392846
-0.00020202,3.335194738319184,3.329926529662703
-0.00020189,3.335194738319184,3.327369774877057
-0.00020176,3.34254671674611,3.328790194202415
-0.00020163,3.331518749105722,3.31998359438519
-0.0002015,3.335194738319184,2.946981479545821
-0.00020137,0.4385152381106785,0.7413543511283673
-0.00020124,0.004748510922095078,-0.01345647836739293
-0.00020111,-0.009955445931755206,-0.02510391683533714
-0.00020098,-0.02465940278560549,-0.0398762778190711
-0.00020085,-0.0356873704259932,-0.05294413561237384
-0.00020072,-0.03936335963945577,-0.05606905812816357
-0.00020059,-0.04671533806638092,-0.05663722585830732
-0.00020046,-0.04671533806638092,-0.06033031610424081
-0.00020033,-0.05039132727984349,-0.06288707088988681
-0.0002002,-0.04671533806638092,-0.06033031610424081
-0.00020007,-0.05039132727984349,-0.06345523862003055
-0.00019994,-0.05039132727984349,-0.06231890315974307
-0.00019981,-0.04671533806638092,-0.05606905812816357
-0.00019968,-0.04671533806638092,-0.05663722585830732
-0.00019955,-0.04671533806638092,-0.05976214837409707
-0.00019942,-0.04671533806638092,-0.05862581291380958
-0.00019929,-0.04671533806638092,-0.05294413561237384
-0.00019916,-0.04303934885291835,-0.05606905812816357
-0.00019903,-0.04303934885291835,-0.0339105166525576
-0.0001989,0.5782028282222561,0.5765857093868616
-0.00019877,3.265350943263396,3.26799624707705
-0.00019864,3.298434846184559,3.290438872417722
-0.00019851,3.313138803038409,3.29640463358423
-0.00019838,3.316814792251872,3.313165581623466
-0.00019825,3.324166770678797,3.31998359438519
-0.00019812,3.335194738319184,3.323676684631123
-0.00019799,3.335194738319184,3.326801607146913
-0.00019786,3.331518749105722,3.3279379426072
-0.00019773,3.335194738319184,3.334755955368924
-0.0001976,3.335194738319184,3.33731271015457
-0.00019747,3.338870727532647,3.333619619908636
-0.00019734,3.335194738319184,3.33106286512299
-0.00019721,3.338870727532647,3.33418778763878
-0.00019708,3.335194738319184,3.333619619908636
-0.00019695,3.331518749105722,3.329358361932559
-0.00019682,3.335194738319184,3.324244852361267
-0.00019669,3.335194738319184,3.329926529662703
-0.00019656,3.331518749105722,3.326801607146913
-0.00019643,3.331518749105722,3.325665271686626
-0.0001963,3.335194738319184,3.321119929845477
-0.00019617,3.327842759892259,3.329358361932559
-0.00019604,3.331518749105722,3.323108516900979
-0.00019591,3.327842759892259,3.322540349170835
-0.00019578,3.331518749105722,3.31998359438519
-0.00019565,3.327842759892259,3.322540349170835
-0.00019552,3.331518749105722,3.318847258924902
-0.00019539,3.331518749105722,3.315722336409112
-0.00019526,3.327842759892259,3.315722336409112
-0.00019513,3.327842759892259,3.316290504139256
-0.000195,3.335194738319184,3.319415426655046
-0.00019487,3.331518749105722,3.318847258924902
-0.00019474,3.327842759892259,3.315722336409112
-0.00019461,3.327842759892259,3.315154168678968
-0.00019448,3.327842759892259,3.312597413893323
-0.00019435,3.331518749105722,3.315154168678968
-0.00019422,3.327842759892259,3.312029246163179
-0.00019409,3.327842759892259,3.313165581623466
-0.00019396,3.335194738319184,3.318279091194758
